Availability,Property Type,Project Name,Location,Min SFT,Max SFT,Builder's Price,One time Payment,Last Updated,Delivery Date,Ownership,POC,BHK,Rera,Builder Name,Project Details Drive Link,Current inventory,Min Budget,Max Budget,Nearby Locations (2km),Google Location,On bOard Status
Yes,Apartment,Rubrick Tulip,Tukkuguda,1100,2000,4999++,4200,19th Feb 2025,2027,Both,,,,,,,,,,,
TBD,Villa,Empire Insignia,Appa junction,220 sq yards,267sq yards,4.25CR,,10/02/2025,RTM,LandLord,,3 & 4 BHK Villas,P02400000456,Empire Delta,https://drive.google.com/file/d/11WNJqhcraaaIkku7eLR-XmecQyUuVL2d/view?usp=drive_link,,#VALUE!,,"Bandlaguda Jagir, Kismatpur, Hydershakote, Peerancheruvu",https://maps.app.goo.gl/aDQenn6iZraXMEnG6,he cut my call
Yes,Apartment,Tiara by SRIAS Life Space,Bachupally,1290,2035 sq.ft.,6000,,,"Mar, 2028",LandLord,,2 & 3,P02200006939,Srias,https://drive.google.com/file/d/1JpIRMo_PteVyk-ET-QEE5za7ZeR5miNC/view?usp=drive_link,,0,,"HMT Colony, Miyapur, Suraram, Vijaya Nagar Colony",https://maps.app.goo.gl/bMrKfa4sMU43iuau5,Already Registered
TBD,Apartment,Capital 45,Financial District,10990,11000 Sq Ft,14000,,,"Dec, 2026",LandLord,,5,P02400004427,Rgahava Construtions,https://drive.google.com/file/d/126tWF14AJjFJzfk_vVfsrj9GLE_tn_YU/view?usp=drive_link,,0,,"Gachibowli, Nanakramguda, Gowlidoddi, Khajaguda",https://maps.app.goo.gl/4KDd1WdugwoZgNtG7,Not responded submitted contact details for registration
TBD,Apartment,Sunshine DESTINO,Financial District,1578,3345 sq.ft.,9500++,9200,,"Nov, 2027",LandLord,,2 & 3,P02400005718,Sunshine developers,https://drive.google.com/file/d/156VWbA_ImBzfrp1QesbtFGAlPoafL8NJ/view?usp=drive_link,,14517600,,"Gachibowli, Nanakramguda, Gowlidoddi, Khajaguda",https://maps.app.goo.gl/2DDaJKTmAkP7StWx6,Not responded submitted contact details for registration
Sold Out,Apartment,ASBL Spectra,Financial District,1980,2220,11000,,,"Dec, 2025",LandLord,,3,P02400003071,ASBL,https://drive.google.com/file/d/1OK0XqnEOnP2-ggTSR2q_YleIIHBdQF4f/view?usp=drive_link,,0,,"Gachibowli, Nanakramguda, Gowlidoddi, Khajaguda",https://maps.app.goo.gl/N8F2mn93QCAKQxmm9,asked me to call tomorrow
Sold Out,Apartment,My Home Vihanga,Gachibowli,1115, 2160 sq.ft.,11800,,25/01/2025,RTM,LandLord,,2 & 3,P02400000010,My Home,https://drive.google.com/file/d/1oi7esyJkva8pUbrYerq6jtaleWxLyj1G/view?usp=drive_link,,0,,"Kondapur, Nanakramguda, Serilingampally, Raidurg",https://maps.app.goo.gl/bUPEYySKcqPEH8XY8,
Yes,Apartment,Raghava Iris,Gachibowli,5425, 11865 sq.ft.,"13500++,11500(otp)",11000 +,10/02/2025,"Dec, 2026",LandLord,,4&6,P02400005078,Raghava,https://drive.google.com/drive/folders/1xCRCrD2vC7zS4Jr4s_o-ccfIBNOFDy-H?usp=drive_link,,59675000,,"Kondapur, Nanakramguda, Serilingampally, Raidurg",https://maps.app.goo.gl/wp9jiL7NUj8xjtMv8,invited to office for registration
No,Apartment,Alekya Palmwoods,Gachibowli,1450,2065,12000/sft,,11/02/2025,RTM,LandLord,,3,,Alekhya Homes,https://drive.google.com/file/d/1-UlvUXQzE533RRd1lFPX5f7p8mZar1K9/view?usp=sharing,Resale ,0,,"Kondapur, Nanakramguda, Serilingampally, Raidurg",https://maps.app.goo.gl/3xCh9yhSXbtfWGMS9,no availability
TBD,Apartment,Skymark,Gachibowli,4999,4999,9600-11000,,10/02/2025,"May, 2028",LandLord,,4,P02400004592,DSR,https://drive.google.com/file/d/1d1g0l93lvdAfU4J0i5m8WIfpme3TVta8/view?usp=drive_link,,0,,"Kondapur, Nanakramguda, Serilingampally, Raidurg",https://maps.app.goo.gl/DQDiWgvMRTgkNDHEA,invited to gachibowli site for registation
